timestamp,asset_id,tempF,pressurePSI,vibrationMM,failure_flag
2025-12-14T09:46:50.727Z,COMP-105,205.8,124.4,2.73,0
2025-12-14T09:47:50.727Z,COMP-105,184.4,115.9,2.41,0
2025-12-14T09:48:50.727Z,COMP-105,181.1,112.2,2.98,0
2025-12-14T09:49:50.727Z,COMP-105,196,115.6,1.81,0
2025-12-14T09:50:50.727Z,COMP-105,172.5,126.3,1.84,0
2025-12-14T09:51:50.727Z,COMP-105,176.3,138.5,1.99,0
2025-12-14T09:52:50.727Z,COMP-105,197.6,118.7,2.29,0
2025-12-14T09:53:50.727Z,COMP-105,192.2,107.9,2.11,0
2025-12-14T09:54:50.727Z,COMP-105,190.9,112.6,2.55,0
2025-12-14T09:55:50.727Z,COMP-105,188.5,119.4,2.52,0
2025-12-14T09:56:50.727Z,COMP-105,180.2,106.7,2.29,0
2025-12-14T09:57:50.727Z,COMP-105,185.9,113.5,2.81,0
2025-12-14T09:58:50.727Z,COMP-105,197.3,114.5,1.81,0
2025-12-14T09:59:50.727Z,COMP-105,181.6,123.8,2.72,0
2025-12-14T10:00:50.727Z,COMP-105,189.8,119.7,2.36,0
2025-12-14T10:01:50.727Z,COMP-105,177.7,117.1,1.66,0
2025-12-14T10:02:50.727Z,COMP-105,184.5,109.5,2.65,0
2025-12-14T10:03:50.727Z,COMP-105,189.4,126.2,2.23,0
2025-12-14T10:04:50.727Z,COMP-105,172.3,134.6,1.76,0
2025-12-14T10:05:50.727Z,COMP-105,176.9,131.6,2.88,0
2025-12-14T10:06:50.727Z,COMP-105,181.1,118.2,1.98,0
2025-12-14T10:07:50.727Z,COMP-105,168.5,121.6,3.34,0
2025-12-14T10:08:50.727Z,COMP-105,187.9,130.6,3.21,0
2025-12-14T10:09:50.727Z,COMP-105,166.8,110.9,2.29,0
2025-12-14T10:10:50.727Z,COMP-105,208,114,2.75,0
2025-12-14T10:11:50.727Z,COMP-105,192.7,118.8,3.23,0
2025-12-14T10:12:50.727Z,COMP-105,187.3,115.6,3.21,0
2025-12-14T10:13:50.727Z,COMP-105,203.4,126.1,2.96,0
2025-12-14T10:14:50.727Z,COMP-105,186.1,111.4,2.54,0
2025-12-14T10:15:50.727Z,COMP-105,185.3,102.7,2.97,0
2025-12-14T10:16:50.727Z,COMP-105,200.7,128.5,2.87,0
2025-12-14T10:17:50.727Z,COMP-105,172.9,114.2,3.14,0
2025-12-14T10:18:50.727Z,COMP-105,182.7,116.4,2.27,0
2025-12-14T10:19:50.727Z,COMP-105,194.9,131.9,2.19,0
2025-12-14T10:20:50.727Z,COMP-105,186.8,128.5,3.21,0
2025-12-14T10:21:50.727Z,COMP-105,174.1,122.2,3.49,0
2025-12-14T10:22:50.727Z,COMP-105,177.6,105.7,2.11,0
2025-12-14T10:23:50.727Z,COMP-105,192.9,120.4,1.31,0
2025-12-14T10:24:50.727Z,COMP-105,194.5,121.3,3.23,0
2025-12-14T10:25:50.727Z,COMP-105,177,130.7,2.69,0
2025-12-14T10:26:50.727Z,COMP-105,164.4,108.9,2.62,0
2025-12-14T10:27:50.727Z,COMP-105,191.4,127.8,2.59,0
2025-12-14T10:28:50.727Z,COMP-105,184,122.9,2.26,0
2025-12-14T10:29:50.727Z,COMP-105,177.1,105.7,1.94,0
2025-12-14T10:30:50.727Z,COMP-105,191.8,123.9,2.87,0
2025-12-14T10:31:50.727Z,COMP-105,194.8,129.1,2.23,0
2025-12-14T10:32:50.727Z,COMP-105,202.7,111.5,2.21,0
2025-12-14T10:33:50.727Z,COMP-105,180.6,138.3,1.92,0
2025-12-14T10:34:50.727Z,COMP-105,194.5,112.6,2.63,0
2025-12-14T10:35:50.727Z,COMP-105,176.7,118.7,2.52,0
2025-12-14T10:36:50.727Z,COMP-105,197.1,122.1,3,0
2025-12-14T10:37:50.727Z,COMP-105,173.4,106.5,2.16,0
2025-12-14T10:38:50.727Z,COMP-105,179.9,125.4,2.92,0
2025-12-14T10:39:50.727Z,COMP-105,181.8,116.6,2.01,0
2025-12-14T10:40:50.727Z,COMP-105,193.6,123.5,1.96,0
2025-12-14T10:41:50.727Z,COMP-105,161.2,113.9,3.29,0
2025-12-14T10:42:50.727Z,COMP-105,193,106.2,2.88,0
2025-12-14T10:43:50.727Z,COMP-105,181.3,120.5,2.55,0
2025-12-14T10:44:50.727Z,COMP-105,180.5,128.9,2.65,0
2025-12-14T10:45:50.727Z,COMP-105,170.9,115,2.13,0
2025-12-14T10:46:50.727Z,COMP-105,181.2,114.4,2.95,0
2025-12-14T10:47:50.727Z,COMP-105,163.6,102.9,2.7,0
2025-12-14T10:48:50.727Z,COMP-105,165.3,133.5,2.14,0
2025-12-14T10:49:50.727Z,COMP-105,176.7,129.1,2.2,0
2025-12-14T10:50:50.727Z,COMP-105,188.6,111.9,2.98,0
2025-12-14T10:51:50.727Z,COMP-105,193.6,112.4,2.92,0
2025-12-14T10:52:50.727Z,COMP-105,154,121.4,1.95,0
2025-12-14T10:53:50.727Z,COMP-105,192.3,118.4,2.09,0
2025-12-14T10:54:50.727Z,COMP-105,191.9,117.2,1.17,0
2025-12-14T10:55:50.727Z,COMP-105,202.2,118.5,2.43,0
2025-12-14T10:56:50.727Z,COMP-105,196,106.7,3.1,0
2025-12-14T10:57:50.727Z,COMP-105,176.6,136.3,2.16,0
2025-12-14T10:58:50.727Z,COMP-105,188.2,121.6,3,0
2025-12-14T10:59:50.727Z,COMP-105,198.8,118.3,1.53,0
2025-12-14T11:00:50.727Z,COMP-105,193.9,121.5,3.84,0
2025-12-14T11:01:50.727Z,COMP-105,186.9,114.9,3.26,0
2025-12-14T11:02:50.727Z,COMP-105,187.6,123.5,2.51,0
2025-12-14T11:03:50.727Z,COMP-105,187.4,112.8,1.89,0
2025-12-14T11:04:50.727Z,COMP-105,204.7,116,2.35,0
2025-12-14T11:05:50.727Z,COMP-105,170.5,114.8,1.88,0
2025-12-14T11:06:50.727Z,COMP-105,180.9,132.7,3.52,0
2025-12-14T11:07:50.727Z,COMP-105,177.7,123.6,1.75,0
2025-12-14T11:08:50.727Z,COMP-105,182.3,121,2.6,0
2025-12-14T11:09:50.727Z,COMP-105,213.2,112.4,3.22,0
2025-12-14T11:10:50.727Z,COMP-105,178.2,130.7,0.91,0
2025-12-14T11:11:50.727Z,COMP-105,187.7,140.2,2.16,0
2025-12-14T11:12:50.727Z,COMP-105,210.7,106.2,2.85,0
2025-12-14T11:13:50.727Z,COMP-105,178,112.8,2.68,0
2025-12-14T11:14:50.727Z,COMP-105,170.4,130.4,3.81,0
2025-12-14T11:15:50.727Z,COMP-105,178.4,117.7,1.86,0
2025-12-14T11:16:50.727Z,COMP-105,174.5,120.8,2.19,0
2025-12-14T11:17:50.727Z,COMP-105,206.2,110.6,2.55,0
2025-12-14T11:18:50.727Z,COMP-105,203.2,109.2,2.09,0
2025-12-14T11:19:50.727Z,COMP-105,175.5,133.4,1.91,0
2025-12-14T11:20:50.727Z,COMP-105,178.6,112.1,2.33,0
2025-12-14T11:21:50.727Z,COMP-105,185.3,115.8,2.21,0
2025-12-14T11:22:50.727Z,COMP-105,192.7,120.9,2.55,0
2025-12-14T11:23:50.727Z,COMP-105,166.7,115.9,1.82,0
2025-12-14T11:24:50.727Z,COMP-105,157,100.4,1.89,0
2025-12-14T11:25:50.727Z,COMP-105,182.3,114.9,2.39,0
2025-12-14T11:26:50.727Z,COMP-105,184.5,110.4,2.32,0
2025-12-14T11:27:50.727Z,COMP-105,184.5,127.1,2.01,0
2025-12-14T11:28:50.727Z,COMP-105,184.3,113.6,3.08,0
2025-12-14T11:29:50.727Z,COMP-105,183.1,133.4,3.27,0
2025-12-14T11:30:50.727Z,COMP-105,169.1,122.8,3,0
2025-12-14T11:31:50.727Z,COMP-105,195.6,111.9,3.07,0
2025-12-14T11:32:50.727Z,COMP-105,172.7,106.7,2.13,0
2025-12-14T11:33:50.727Z,COMP-105,206.3,103.1,3.48,0
2025-12-14T11:34:50.727Z,COMP-105,159.3,138,1.88,0
2025-12-14T11:35:50.727Z,COMP-105,167.8,129.1,2.51,0
2025-12-14T11:36:50.727Z,COMP-105,201.5,114.6,2.4,0
2025-12-14T11:37:50.727Z,COMP-105,186.4,109,2.07,0
2025-12-14T11:38:50.727Z,COMP-105,207.6,117.4,2.98,0
2025-12-14T11:39:50.727Z,COMP-105,187.3,120.5,2.98,0
2025-12-14T11:40:50.727Z,COMP-105,188.5,128.4,2.2,0
2025-12-14T11:41:50.727Z,COMP-105,158.1,126.2,2.71,0
2025-12-14T11:42:50.727Z,COMP-105,190.4,138,1.84,0
2025-12-14T11:43:50.727Z,COMP-105,179.4,124.6,2.29,0
2025-12-14T11:44:50.727Z,COMP-105,191.6,121.4,2.13,0
2025-12-14T11:45:50.727Z,COMP-105,194.5,131.2,1.61,0
2025-12-14T11:46:50.727Z,COMP-105,176.1,115.2,1.62,0
